;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea;Perdidas_BC;E_V_BC;P_BC;P_BC_m;Piezometrico;E_Potencial
23;B-C;cerrado;1;Punto 1;-17605,2;2183,1;-7113,0;0,0;0,0;0,2086;Base;0,20747165858246175;0,36398536593414343;-0,25613898084214537;-0,025457024516606096;12,143542975483397;0,5459999999999992
24;B-C;cerrado;2;Punto 2;-17605,2;1933,1;-7113,0;249,9999999999998;2,499999999999998;0,2086;Base;0,2642451381760798;0,36398536593414343;24,326684926766024;2,4177694958897757;12,086769495889776;3,0459999999999994
25;B-C;cerrado;3;Punto 3;-16921,8;1910,1;-6913,3;712,3514932952705;9,623514932952704;0,2086;Base;0,42601583004840965;0,36398536593414343;25,01318249587455;2,485998804017446;11,924998804017447;3,2759999999999994
26;B-C;cerrado;4;Punto 4;-16652,4;1899,6;-6788,8;296,9627249336166;12,59314218228887;0,2086;Base;0,4934542588647453;0,36398536593414343;25,39111286065609;2,5235603752011104;11,85756037520111;3,3809999999999993
27;B-C;cerrado;5;Punto 5;-16430,8;1886,7;-6591,7;296,852454933425;15,56166673162312;0,2086;Base;0,5608676460346583;0,36398536593414343;26,01077413464071;2,585146988031196;11,790146988031196;3,509999999999998
28;B-C;cerrado;6;Punto 6;-16275,6;1870,3;-6339,2;296,8370765251532;18,53003749687465;0,2086;Base;0,6282775408615785;0,36398536593414343;26,98262734876359;2,681737093204277;11,722737093204278;3,6739999999999986
29;B-C;cerrado;7;Punto 7;-16202,0;1849,4;-6052,3;296,9265565758641;21,49930306263329;0,2086;Base;0,695707756063831;0,36398536593414343;28,40704913743266;2,8233068780020227;11,655306878002024;3,8829999999999973
30;B-C;cerrado;8;Punto 8;-15762,5;1499,1;-1603,4;4484,259308960623;66,34189615223951;0,2086;Base;1,7140557735429034;0,36398536593414343;53,40668042329564;5,307958860522952;10,636958860522954;7,385999999999999
31;B-C;cerrado;9;Punto 9;-15628,8;1396,3;-673,6;944,9717297358691;75,7916134495982;0,2086;Base;1,9286531064017247;0,36398536593414343;61,5908313259244;6,12136152766413;10,42236152766413;8,413999999999998
32;B-C;cerrado;10;Punto 10;-15502,0;1323,3;259,9;944,8965498931615;85,24057894852982;0,2086;Base;2,1432333663754832;0,36398536593414343;66,77679038528447;6,636781267690371;10,207781267690372;9,143999999999998
33;B-C;cerrado;11;Punto 11;-15363,0;1301,6;2474,7;2219,263600836998;107,4332149568998;0,2086;Base;2,6472146333953988;0,36398536593414343;63,88929309716589;6,349800000670457;9,703800000670457;9,360999999999999
34;B-C;cerrado;12;Punto 12;-15160,6;1294,0;2986,1;550,0486160331648;112,9337011172315;0,2086;Base;2,7721273289068264;0,36398536593414343;63,39715199990738;6,300887305159029;9,578887305159029;9,436999999999998
35;B-C;cerrado;13;Punto 13;-14696,3;1284,1;3280,9;550,072304338258;118,434424160614;0,2086;Base;2,897045403888275;0,36398536593414343;63,136374103150125;6,274969230177581;9,45396923017758;9,536
36;B-C;cerrado;14;Punto 14;-14147,4;1275,7;3246,4;550,0472888761471;123,9348970493755;0,2086;Base;3,0219577980104155;0,36398536593414343;62,72472902155695;6,234056836055438;9,329056836055441;9,619999999999997
37;B-C;cerrado;15;Punto 15;-13723,5;1272,1;2895,9;550,0494705024264;129,4353917543998;0,2086;Base;3,1468706875666164;0,36398536593414343;61,83012105589313;6,145143946499239;9,204143946499238;9,655999999999999
38;B-C;cerrado;16;Punto 16;-13586,5;1270,6;2363,2;550,0368533107579;134,9357602875073;0,2086;Base;3,2717807118353193;0,36398536593414343;60,72424783877159;6,035233922230536;9,079233922230536;9,671
39;B-C;cerrado;17;Punto 17;-13743,0;1249,6;-130,1;2498,295046626799;159,9187107537753;0,2086;Base;3,8391283232293354;0,36398536593414343;57,12875092870926;5,67788631083652;8,51188631083652;9,880999999999998
40;B-C;cerrado;18;Punto 18;-13945,5;1241,8;-641,8;550,3671320128046;165,4223820739034;0,2086;Base;3,964113351782645;0,36398536593414343;56,656005289460126;5,630901282283211;8,386901282283212;9,959
41;B-C;cerrado;19;Punto 19;-14410,1;1231,8;-936,7;550,3809317191143;170,9261913910945;0,2086;Base;4,08910151416533;0,36398536593414343;56,40458382260158;5,605913119900525;8,261913119900527;10,059
42;B-C;cerrado;20;Punto 20;-14959,3;1223,5;-902,3;550,3388865053956;176,4295802561485;0,2086;Base;4,214080128335686;0,36398536593414343;55,98221083695485;5,563934505730169;8,13693450573017;10,141999999999998
43;B-C;cerrado;21;Punto 21;-15383,4;1220,0;-551,6;550,3304007593986;181,9328842637425;0,2086;Base;4,3390568154447315;0,36398536593414343;55,076899341472334;5,473957818621122;8,011957818621124;10,176999999999998
44;B-C;cerrado;22;Punto 22;-15520,5;1218,6;-18,5;550,4488895437978;187,4373731591805;0,2086;Base;4,464060410636111;0,36398536593414343;53,960023026112445;5,362954223429745;7,886954223429747;10,190999999999999
45;B-C;cerrado;23;Punto 23;-15364,0;1197,6;2474,8;2498,295046626799;212,4203236254484;0,2086;Base;5,031408022030123;0,36398536593414343;50,36452611605015;5,005606612035733;7,3196066120357335;10,401
46;B-C;cerrado;24;Punto 24;-15161,6;1189,8;2986,2;550,0514157785611;217,920837783234;0,2086;Base;5,156321353346703;0,36398536593414343;49,892501867359954;4,958693280719152;7,194693280719151;10,479
47;B-C;cerrado;25;Punto 25;-14697,3;1179,9;3280,9;550,0187178633116;223,4210249618672;0,2086;Base;5,281227259165588;0,36398536593414343;49,631846412127395;4,932787374900265;7,069787374900267;10,577999999999998
48;B-C;cerrado;26;Punto 26;-14148,4;1171,5;3246,5;550,0410257426255;228,9214352192934;0,2086;Base;5,406138230968193;0,36398536593414343;49,22021564137706;4,891876403097661;6,944876403097661;10,661999999999999
49;B-C;cerrado;27;Punto 27;-13724,5;1168,0;2896,0;550,0488251055534;234,421923470349;0,2086;Base;5,53105097395869;0,36398536593414343;48,31554752750207;4,801963660107165;6,819963660107166;10,697
50;B-C;cerrado;28;Punto 28;-13587,5;1163,6;2363,3;550,0524065941352;239,9224475362903;0,2086;Base;5,65596453028346;0,36398536593414343;47,50142583626435;4,721050103782398;6,695050103782397;10,741
51;B-C;cerrado;29;Punto 29;-13744,0;1145,6;-130,0;2498,271630547807;264,9051638417684;0,2086;Base;6,223306824028345;0,36398536593414343;43,60413374338227;4,33370781003751;6,127707810037511;10,921
52;B-C;cerrado;30;Punto 30;-13946,4;1137,8;-641,4;550,0514157785614;270,405677999554;0,2086;Base;6,348220155344924;0,36398536593414343;43,1321094946921;4,286794478720932;6,002794478720934;10,998999999999999
53;B-C;cerrado;31;Punto 31;-14410,7;1127,9;-936,2;550,0723043382579;275,9064010429366;0,2086;Base;6,4731382303263745;0,36398536593414343;42,8713315979348;4,260876403739479;5,877876403739482;11,097999999999997
54;B-C;cerrado;32;Punto 32;-14959,6;1119,5;-901,7;550,0472888761471;281,4068739316981;0,2086;Base;6,598050624448516;0,36398536593414343;42,45968651634165;4,219964009617339;5,752964009617341;11,181999999999999
55;B-C;cerrado;33;Punto 33;-15383,5;1116,0;-551,2;550,0488251055534;286,9073621827536;0,2086;Base;6,72296336743901;0,36398536593414343;41,55501840246667;4,130051266626845;5,628051266626845;11,216999999999999
56;B-C;cerrado;34;Punto 34;-15520,5;1111,6;-18,5;550,0524065941354;292,407886248695;0,2086;Base;6,84787692376378;0,36398536593414343;40,74089671122894;4,049137710302076;5,503137710302077;11,261
57;B-C;cerrado;35;Punto 35;-15364,0;1093,6;2474,8;2498,271630547807;317,390602554173;0,2086;Base;7,415219217508662;0,36398536593414343;36,843604618346895;3,661795416557193;4,935795416557193;11,440999999999999
58;B-C;cerrado;36;Punto 36;-15161,6;1085,8;2986,2;550,0514157785611;322,8911167119587;0,2086;Base;7,540132548825245;0,36398536593414343;36,371580369656684;3,6148820852406107;4,810882085240611;11,518999999999998
59;B-C;cerrado;37;Punto 37;-14697,3;1075,9;3281,0;550,072304338258;328,3918397553413;0,2086;Base;7,665050623806698;0,36398536593414343;36,11080247289937;3,588964010259157;4,68596401025916;11,617999999999997
60;B-C;cerrado;38;Punto 38;-14148,4;1067,5;3246,5;550,0472888761471;333,8923126441027;0,2086;Base;7,789963017928835;0,36398536593414343;35,69915739130625;3,54805161613702;4,5610516161370205;11,701999999999998
61;B-C;cerrado;39;Punto 39;-13724,5;1064,0;2896,0;550,0488251055534;339,3928008951582;0,2086;Base;7,914875760919329;0,36398536593414343;34,79448927743128;3,4581388731465257;4,436138873146527;11,736999999999998
62;B-C;cerrado;40;Punto 40;-13587,5;1059,6;2363,3;550,0524065941352;344,8933249610996;0,2086;Base;8,039789317244102;0,36398536593414343;33,980367586193516;3,377225316821754;4,311225316821755;11,780999999999999
63;B-C;cerrado;41;Punto 41;-13744,0;1041,6;-130,0;2498,271630547807;369,8760412665777;0,2086;Base;8,607131610988985;0,36398536593414343;30,083075493311462;2,989883023076869;3,74388302307687;11,960999999999999
64;B-C;cerrado;42;Punto 42;-13946,5;1033,8;-641,7;550,3671320128047;375,3797125867057;0,2086;Base;8,732116639542292;0,36398536593414343;29,61032985406236;2,942897994523563;3,618897994523562;12,039
65;B-C;cerrado;43;Punto 43;-14411,1;1023,8;-936,7;550,4345192663704;380,8840577793694;0,2086;Base;8,857116971331061;0,36398536593414343;29,358785943228867;2,9178976627347923;3,493897662734793;12,139
66;B-C;cerrado;44;Punto 44;-14960,3;1015,5;-902,2;550,3451462491505;386,3875092418609;0,2086;Base;8,982097007051154;0,36398536593414343;28,936398654484776;2,875917627014701;3,3689176270147017;12,221999999999998
67;B-C;cerrado;45;Punto 45;-15384,4;1012,0;-551,5;550,3304007593987;391,8908132494549;0,2086;Base;9,107073694160198;0,36398536593414343;28,031087159002276;2,7859409399056565;3,243940939905657;12,256999999999998
68;B-C;cerrado;46;Punto 46;-15521,5;1008,6;-18,5;550,3607634997248;397,3944208844522;0,2086;Base;9,23205727646292;0,36398536593414343;27,1156446637812;2,6949573576029366;3,118957357602939;12,290999999999999
69;B-C;cerrado;47;Punto 47;-15365,0;989,6;2474,9;2498,378836365694;422,3782092481091;0,2086;Base;9,799423915997059;0,36398536593414343;23,31872384174844;2,3175907180687956;2,551590718068798;12,481
70;B-C;cerrado;48;Punto 48;-15162,6;981,8000000000001;2986,3;550,0514157785615;427,8787234058947;0,2086;Base;9,924337247313638;0,36398536593414343;22,846699593058254;2,2706773867522156;2,426677386752218;12,558999999999997
71;B-C;cerrado;49;Punto 49;-14698,3;971,9;3281,0;550,0187178633114;433,3789105845278;0,2086;Base;10,04924315313252;0,36398536593414343;22,586044137825752;2,244771480933334;2,3017714809333336;12,657999999999998
72;B-C;cerrado;50;Punto 50;-14149,4;963,4999999999999;3246,6;550,0410257426255;438,8793208419541;0,2086;Base;10,174154124935129;0,36398536593414343;22,174413367075363;2,203860509130725;2,1768605091307256;12,741999999999999
73;B-C;cerrado;51;Punto 51;-13725,5;959,9999999999999;2896,0;550,1125521200181;444,3804463631543;0,2086;Base;10,299081339943045;0,36398536593414343;21,269599641218505;2,11393329412281;2,0519332941228106;12,777
74;B-C;cerrado;52;Punto 52;-13588,5;955,6;2363,3;550,0524065941352;449,8809704290957;0,2086;Base;10,423994896267818;0,36398536593414343;20,455477949980736;2,033019737798038;1,92701973779804;12,821
75;B-C;cerrado;53;Punto 53;-13650,0;952,8000000000001;1383,2;982,0316186355714;459,7012866154514;0,2086;Base;10,647008304511393;0,36398536593414343;18,49332657579008;1,8380063295544573;1,7040063295544599;12,848999999999997
76;B-C;cerrado;54;Punto 54;-13655,7;908,6;603,9;780,5732636979056;467,5070192524304;0,2086;Base;10,824271745542902;0,36398536593414343;21,15700599997471;2,1027428885229553;1,526742888522955;13,290999999999999
77;B-C;cerrado;55;Punto 55;-13504,5;839,6;-158,7;780,5006085840037;475,3120253382705;0,2086;Base;11,001518687039905;0,36398536593414343;26,31613391545351;2,615495947025952;1,349495947025954;13,981
78;B-C;cerrado;56;Punto 56;-13188,6;800,5;-633,5;571,6263289947375;481,0282886282179;0,2086;Base;11,131331549937334;0,36398536593414343;28,944100395310166;2,876683084128522;1,2196830841285224;14,371999999999998
79;B-C;cerrado;57;Punto 57;-12682,9;766,1999999999999;-897,6;571,539841130958;486,7436870395275;0,2086;Base;11,261124771966887;0,36398536593414343;31,089306594972808;3,0898898620989668;1,0898898620989657;14,715
80;B-C;cerrado;58;Punto 58;-12113,7;748,3;-848,8;571,5684473446717;492,4593715129742;0,2086;Base;11,390924490293603;0,36398536593414343;31,584341275743192;3,1390901437722527;0,960090143772253;14,893999999999998
81;B-C;cerrado;59;Punto 59;-10613,0;732,1;-224,1;1625,611583374086;508,7154873467151;0,2086;Base;11,760090994516954;0,36398536593414343;29,499910032736558;2,9319236395489;0,5909236395488995;15,056
82;B-C;cerrado;60;Punto 60;-10036,5;729,1;15,8;624,4303483976415;514,9597908306915;0,2086;Base;11,901895329086512;0,36398536593414343;28,374976979712226;2,8201193049793414;0,4491193049793424;15,085999999999999
83;B-C;cerrado;61;Punto 61;-9944,2;747,8;54,3;101,74099468749;515,9772007775664;0,2086;Base;11,92500009022941;0,36398536593414343;26,260982103597843;2,610014543836446;0,4260145438364464;14,899
84;B-C;cerrado;62;Punto 62;-9883,0;825,1;79,7;101,8130148851319;516,9953309264178;0,2086;Base;11,948121206721195;0,36398536593414343;18,250711646730522;1,8138934273446603;0,40289342734466116;14,126
85;B-C;cerrado;63;Punto 63;-9793,3;966,1999999999999;117,1;171,3302658609975;518,7086335850278;0,2086;Base;12,351014634065853;0,36398536593414343;4,5754963593935834e-14;4,547473508864641e-15;4,547473508864641e-15;12,715
