;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea
0;A-B;abierto;1;Punto 1;-22062,2;2825,2;-10396,1;0,0;0,0;0,2204;Base
1;A-B;abierto;2;Punto 2;-21668,4;2782,1;-10212,7;436,5450835824398;4,365450835824398;0,2204;Base
2;A-B;abierto;3;Punto 3;-21310,8;2759,8;-10040,0;397,7440634377863;8,342891470202261;0,2204;Base
3;A-B;abierto;4;Punto 4;-20966,8;2747,1;-9819,2;408,9620153510589;12,43251162371285;0,2204;Base
4;A-B;abierto;5;Punto 5;-20072,0;2717,4;-9281,8;1044,197246692405;22,8744840906369;0,2204;Base
5;A-B;abierto;6;Punto 6;-19511,5;2701,4;-8939,2;657,1080656939154;29,44556474757606;0,2204;Base
6;A-B;abierto;7;Punto 7;-19113,4;2641,7;-8692,4;472,18422252337;34,16740697280976;0,2204;Base
7;A-B;abierto;8;Punto 8;-18540,9;2573,7;-8344,4;673,4123922233686;40,90153089504344;0,2204;Base
8;A-B;abierto;9;Punto 9;-18242,6;2539,7;-8152,7;356,2131103707466;44,46366199875091;0,2204;Base
9;A-B;abierto;10;Punto 10;-18016,1;2505,7;-7914,0;330,8110336733041;47,77177233548394;0,2204;Base
10;A-B;abierto;11;Punto 11;-17881,7;2471,7;-7599,1;344,0659384478492;51,21243171996244;0,2204;Base
11;A-B;abierto;12;Punto 12;-17840,9;2458,1;-7431,9;172,6425208342377;52,93885692830482;0,2204;Base
12;A-B;abierto;13;Punto 13;-17742,3;2392,3;-7028,0;420,9356364101287;57,1482132924061;0,2204;Base
13;A-B;abierto;14;Punto 14;-17721,4;2377,7;-6918,7;112,2339520822462;58,27055281322857;0,2204;Base
14;A-B;abierto;15;Punto 15;-17700,6;2365,8;-6809,1;112,1891706003748;59,39244451923232;0,2204;Base
15;A-B;abierto;16;Punto 16;-17648,6;2347,4;-6711,5;112,1085188556163;60,51352970778849;0,2204;Base
16;A-B;abierto;17;Punto 17;-17575,3;2326,6;-6689,1;79,41844873831197;61,30771419517161;0,2204;Base
17;A-B;abierto;18;Punto 18;-17500,8;2305,5;-6706,4;79,33946054769953;62,1011088006486;0,2204;Base
18;A-B;abierto;19;Punto 19;-17450,1;2283,2;-6763,5;79,54992143302282;62,89660801497883;0,2204;Base
19;A-B;abierto;20;Punto 20;-17466,2;2266,7;-6857,9;97,17417352362716;63,8683497502151;0,2204;Base
20;A-B;abierto;21;Punto 21;-17501,4;2256,3;-6948,0;97,28931082087136;64,84124285842381;0,2204;Base
21;A-B;abierto;22;Punto 22;-17548,6;2245,3;-7053,1;115,7361222782231;65,99860408120604;0,2204;Base
22;A-B;abierto;23;Punto 23;-17616,6;2237,7;-7103,0;84,68630349708246;66,84546711617686;0,2204;Base
23;B-C;cerrado;1;Punto 1;-17605,2;2183,1;-7113,0;0,0;0,0;0,2086;Base
24;B-C;cerrado;2;Punto 2;-17605,2;1933,1;-7113,0;249,9999999999998;2,499999999999998;0,2086;Base
25;B-C;cerrado;3;Punto 3;-16921,8;1910,1;-6913,3;712,3514932952705;9,623514932952704;0,2086;Base
26;B-C;cerrado;4;Punto 4;-16652,4;1899,6;-6788,8;296,9627249336166;12,59314218228887;0,2086;Base
27;B-C;cerrado;5;Punto 5;-16430,8;1886,7;-6591,7;296,852454933425;15,56166673162312;0,2086;Base
28;B-C;cerrado;6;Punto 6;-16275,6;1870,3;-6339,2;296,8370765251532;18,53003749687465;0,2086;Base
29;B-C;cerrado;7;Punto 7;-16202,0;1849,4;-6052,3;296,9265565758641;21,49930306263329;0,2086;Base
30;B-C;cerrado;8;Punto 8;-15762,5;1499,1;-1603,4;4484,259308960623;66,34189615223951;0,2086;Base
31;B-C;cerrado;9;Punto 9;-15628,8;1396,3;-673,6;944,9717297358691;75,7916134495982;0,2086;Base
32;B-C;cerrado;10;Punto 10;-15502,0;1323,3;259,9;944,8965498931615;85,24057894852982;0,2086;Base
33;B-C;cerrado;11;Punto 11;-15363,0;1301,6;2474,7;2219,263600836998;107,4332149568998;0,2086;Base
34;B-C;cerrado;12;Punto 12;-15160,6;1294,0;2986,1;550,0486160331648;112,9337011172315;0,2086;Base
35;B-C;cerrado;13;Punto 13;-14696,3;1284,1;3280,9;550,072304338258;118,434424160614;0,2086;Base
36;B-C;cerrado;14;Punto 14;-14147,4;1275,7;3246,4;550,0472888761471;123,9348970493755;0,2086;Base
37;B-C;cerrado;15;Punto 15;-13723,5;1272,1;2895,9;550,0494705024264;129,4353917543998;0,2086;Base
38;B-C;cerrado;16;Punto 16;-13586,5;1270,6;2363,2;550,0368533107579;134,9357602875073;0,2086;Base
39;B-C;cerrado;17;Punto 17;-13743,0;1249,6;-130,1;2498,295046626799;159,9187107537753;0,2086;Base
40;B-C;cerrado;18;Punto 18;-13945,5;1241,8;-641,8;550,3671320128046;165,4223820739034;0,2086;Base
41;B-C;cerrado;19;Punto 19;-14410,1;1231,8;-936,7;550,3809317191143;170,9261913910945;0,2086;Base
42;B-C;cerrado;20;Punto 20;-14959,3;1223,5;-902,3;550,3388865053956;176,4295802561485;0,2086;Base
43;B-C;cerrado;21;Punto 21;-15383,4;1220,0;-551,6;550,3304007593986;181,9328842637425;0,2086;Base
44;B-C;cerrado;22;Punto 22;-15520,5;1218,6;-18,5;550,4488895437978;187,4373731591805;0,2086;Base
45;B-C;cerrado;23;Punto 23;-15364,0;1197,6;2474,8;2498,295046626799;212,4203236254484;0,2086;Base
46;B-C;cerrado;24;Punto 24;-15161,6;1189,8;2986,2;550,0514157785611;217,920837783234;0,2086;Base
47;B-C;cerrado;25;Punto 25;-14697,3;1179,9;3280,9;550,0187178633116;223,4210249618672;0,2086;Base
48;B-C;cerrado;26;Punto 26;-14148,4;1171,5;3246,5;550,0410257426255;228,9214352192934;0,2086;Base
49;B-C;cerrado;27;Punto 27;-13724,5;1168,0;2896,0;550,0488251055534;234,421923470349;0,2086;Base
50;B-C;cerrado;28;Punto 28;-13587,5;1163,6;2363,3;550,0524065941352;239,9224475362903;0,2086;Base
51;B-C;cerrado;29;Punto 29;-13744,0;1145,6;-130,0;2498,271630547807;264,9051638417684;0,2086;Base
52;B-C;cerrado;30;Punto 30;-13946,4;1137,8;-641,4;550,0514157785614;270,405677999554;0,2086;Base
53;B-C;cerrado;31;Punto 31;-14410,7;1127,9;-936,2;550,0723043382579;275,9064010429366;0,2086;Base
54;B-C;cerrado;32;Punto 32;-14959,6;1119,5;-901,7;550,0472888761471;281,4068739316981;0,2086;Base
55;B-C;cerrado;33;Punto 33;-15383,5;1116,0;-551,2;550,0488251055534;286,9073621827536;0,2086;Base
56;B-C;cerrado;34;Punto 34;-15520,5;1111,6;-18,5;550,0524065941354;292,407886248695;0,2086;Base
57;B-C;cerrado;35;Punto 35;-15364,0;1093,6;2474,8;2498,271630547807;317,390602554173;0,2086;Base
58;B-C;cerrado;36;Punto 36;-15161,6;1085,8;2986,2;550,0514157785611;322,8911167119587;0,2086;Base
59;B-C;cerrado;37;Punto 37;-14697,3;1075,9;3281,0;550,072304338258;328,3918397553413;0,2086;Base
60;B-C;cerrado;38;Punto 38;-14148,4;1067,5;3246,5;550,0472888761471;333,8923126441027;0,2086;Base
61;B-C;cerrado;39;Punto 39;-13724,5;1064,0;2896,0;550,0488251055534;339,3928008951582;0,2086;Base
62;B-C;cerrado;40;Punto 40;-13587,5;1059,6;2363,3;550,0524065941352;344,8933249610996;0,2086;Base
63;B-C;cerrado;41;Punto 41;-13744,0;1041,6;-130,0;2498,271630547807;369,8760412665777;0,2086;Base
64;B-C;cerrado;42;Punto 42;-13946,5;1033,8;-641,7;550,3671320128047;375,3797125867057;0,2086;Base
65;B-C;cerrado;43;Punto 43;-14411,1;1023,8;-936,7;550,4345192663704;380,8840577793694;0,2086;Base
66;B-C;cerrado;44;Punto 44;-14960,3;1015,5;-902,2;550,3451462491505;386,3875092418609;0,2086;Base
67;B-C;cerrado;45;Punto 45;-15384,4;1012,0;-551,5;550,3304007593987;391,8908132494549;0,2086;Base
68;B-C;cerrado;46;Punto 46;-15521,5;1008,6;-18,5;550,3607634997248;397,3944208844522;0,2086;Base
69;B-C;cerrado;47;Punto 47;-15365,0;989,6;2474,9;2498,378836365694;422,3782092481091;0,2086;Base
70;B-C;cerrado;48;Punto 48;-15162,6;981,8000000000001;2986,3;550,0514157785615;427,8787234058947;0,2086;Base
71;B-C;cerrado;49;Punto 49;-14698,3;971,9;3281,0;550,0187178633114;433,3789105845278;0,2086;Base
72;B-C;cerrado;50;Punto 50;-14149,4;963,4999999999999;3246,6;550,0410257426255;438,8793208419541;0,2086;Base
73;B-C;cerrado;51;Punto 51;-13725,5;959,9999999999999;2896,0;550,1125521200181;444,3804463631543;0,2086;Base
